Price,Size,District,Tenure,Distance,RoomNumber,RoomK,RoomD,RoomL,Kenpei,Youseki,Reform,year_2024
110,50,千代田区,21,1,1,1,1,1,80,600,0,1
46,25,千代田区,1,2,1,1,0,0,80,500,0,1
160,65,千代田区,21,1,2,1,1,1,80,600,0,1
100,50,千代田区,21,1,1,1,1,1,80,600,0,1
18,20,千代田区,42,2,1,1,0,0,80,600,1,1
39,25,千代田区,14,1,1,1,0,0,80,600,0,0
88,65,千代田区,16,1,1,1,1,1,80,600,1,0
13,20,千代田区,17,2,1,1,0,0,80,600,0,0
23,20,千代田区,20,1,1,1,0,0,80,800,1,1
26,30,千代田区,15,1,1,1,1,0,80,800,0,0
15,15,千代田区,47,1,1,1,0,0,80,500,0,1
15,15,千代田区,47,1,1,1,0,0,80,500,0,1
12,15,千代田区,42,3,1,1,0,0,80,500,1,0
69,55,千代田区,7,2,2,1,1,1,80,700,0,0
25,20,千代田区,12,2,1,1,0,0,80,600,0,0
28,20,千代田区,12,2,1,0,0,0,80,600,0,0
26,25,千代田区,14,3,1,1,0,0,80,700,0,0
24,25,千代田区,12,2,1,1,0,0,80,700,0,0
29,20,千代田区,12,4,1,1,0,0,80,700,1,0
27,25,千代田区,19,3,1,1,0,0,80,600,0,1
37,30,千代田区,19,4,1,1,0,0,80,600,0,1
28,20,千代田区,14,4,1,1,0,0,80,600,0,0
27,25,千代田区,7,3,1,1,0,0,80,600,0,0
33,20,千代田区,21,6,1,1,0,0,80,600,1,1
29,20,千代田区,16,6,1,1,0,0,80,600,0,0
47,50,千代田区,17,5,2,1,1,1,80,600,0,0
100,50,千代田区,18,2,1,1,1,1,80,600,0,1
23,20,千代田区,14,2,1,1,0,0,80,600,0,0
60,60,千代田区,17,4,2,1,1,1,80,600,0,0
61,60,千代田区,15,4,1,1,1,1,80,600,0,0
39,35,千代田区,6,3,1,1,1,1,80,500,0,0
220,65,千代田区,9,2,3,1,1,1,80,500,1,1
33,25,千代田区,12,2,1,1,0,0,80,500,0,1
24,20,千代田区,19,1,1,1,0,0,80,500,0,0
21,20,千代田区,19,1,1,1,0,0,80,500,0,0
32,30,千代田区,39,2,1,1,1,1,80,700,0,1
27,20,千代田区,21,6,1,1,0,0,80,500,1,1
170,60,千代田区,16,4,2,1,1,1,80,500,1,1
90,55,千代田区,6,2,2,1,1,1,80,500,0,0
92,60,千代田区,6,2,2,1,1,1,80,500,0,0
70,55,千代田区,21,8,1,1,1,1,80,700,1,0
86,60,千代田区,24,8,2,1,1,1,80,500,0,1
75,60,千代田区,19,8,1,1,1,1,80,500,1,0
36,25,千代田区,12,5,1,1,0,0,60,400,0,1
26,20,千代田区,17,3,1,1,0,0,80,700,0,0
31,25,千代田区,7,5,1,1,0,0,60,400,0,0
18,15,千代田区,42,2,1,1,0,0,80,700,0,1
75,55,千代田区,42,1,2,1,1,1,80,700,1,1
90,70,千代田区,42,1,3,1,1,1,80,700,0,1
140,80,千代田区,33,1,3,1,1,1,80,600,0,1
89,40,千代田区,5,2,1,1,1,1,80,800,0,1
66,75,千代田区,53,3,3,1,0,0,60,400,0,1
39,30,千代田区,48,3,1,1,1,1,60,400,0,0
220,70,千代田区,7,4,2,1,1,1,80,500,0,1
32,25,千代田区,53,6,1,1,0,0,60,400,1,1
25,20,千代田区,21,4,1,1,1,0,80,500,0,1
37,35,千代田区,53,6,1,1,0,0,60,400,1,1
270,80,千代田区,7,4,2,1,1,0,80,500,1,1
32,25,千代田区,34,3,1,1,0,0,80,500,1,0
24,20,千代田区,16,6,1,1,0,0,80,500,0,0
20,15,千代田区,38,5,1,1,0,0,80,500,0,1
320,105,千代田区,16,3,2,1,1,1,80,500,0,1
210,100,千代田区,5,4,2,1,1,1,60,400,0,0
110,60,千代田区,11,3,1,1,1,1,80,500,0,0
150,75,千代田区,14,4,2,1,1,1,60,400,0,0
130,65,千代田区,5,4,2,1,1,1,60,400,0,0
130,70,千代田区,20,5,2,1,1,1,80,800,0,1
17,20,千代田区,16,3,1,1,0,0,80,600,0,0
130,80,千代田区,15,2,3,1,1,1,80,800,0,0
29,20,千代田区,15,4,1,1,0,0,80,500,0,0
77,60,千代田区,9,6,2,1,1,1,80,500,0,0
36,30,千代田区,19,2,1,1,1,1,80,600,0,1
33,20,千代田区,10,6,1,1,0,0,80,600,0,1
33,30,千代田区,10,6,1,1,0,0,80,600,0,1
21,20,千代田区,24,3,1,1,0,0,80,600,0,1
21,20,千代田区,19,3,1,1,0,0,80,600,0,0
35,30,千代田区,14,2,1,1,1,0,80,600,0,0
24,20,千代田区,19,2,1,1,0,0,80,600,0,1
280,105,千代田区,47,3,2,1,1,1,80,500,1,1
110,105,千代田区,42,3,3,1,1,1,80,500,0,0
190,70,千代田区,16,2,2,1,1,1,80,500,1,1
13,15,千代田区,41,3,1,1,0,0,80,500,0,0
17,15,千代田区,41,3,1,0,0,0,80,500,0,0
33,20,千代田区,23,4,1,1,0,0,80,500,0,1
