Tenure,Distance,Kenpei,Youseki,Reform,E_Size,E_Tenure,E_Distance,E_Kenpei,E_Youseki,E_Reform,Size,Hat_B,Hat_Y_D1,Hat_B_OLS,Hat_Y_OLS
20,15,60,400,0,47.322314049586765,20.6099173553719,7.482644628099178,67.23966942148759,285.6198347107438,0.26115702479338837,31,-1.5317995885823015,22.955269536085986,9.098662445746777,9.098662445746777
20,15,60,400,0,49.41569282136894,18.81636060100167,6.175292153589315,70.85141903171954,450.7512520868114,0.22203672787979958,32,11.543780419211876,58.66857878138939,33.13543375734983,33.13543375734983
20,15,60,400,0,47.322314049586765,20.6099173553719,7.482644628099178,67.23966942148759,285.6198347107438,0.26115702479338837,32,-1.264284833119554,23.520570759985976,10.667738987062528,10.667738987062528
20,15,60,400,0,49.41569282136894,18.81636060100167,6.175292153589315,70.85141903171954,450.7512520868114,0.22203672787979958,33,12.151696761205228,61.28872003167104,34.704510298665575,34.704510298665575
20,15,60,400,0,47.322314049586765,20.6099173553719,7.482644628099178,67.23966942148759,285.6198347107438,0.26115702479338837,33,-0.46285418122721644,25.42986400814533,12.236815528378278,12.236815528378278
20,15,60,400,0,49.41569282136894,18.81636060100167,6.175292153589315,70.85141903171954,450.7512520868114,0.22203672787979958,34,12.428740192246739,62.3640787252754,36.27358683998133,36.27358683998133
20,15,60,400,0,47.322314049586765,20.6099173553719,7.482644628099178,67.23966942148759,285.6198347107438,0.26115702479338837,34,-0.18581075018570603,25.99516523204532,13.805892069694028,13.805892069694028
20,15,60,400,0,49.41569282136894,18.81636060100167,6.175292153589315,70.85141903171954,450.7512520868114,0.22203672787979958,35,12.710885459118868,63.43943741887975,37.84266338129708,37.84266338129708
20,15,60,400,0,47.322314049586765,20.6099173553719,7.482644628099178,67.23966942148759,285.6198347107438,0.26115702479338837,35,0.09633451668642401,26.56046645594531,15.374968611009777,15.374968611009777
20,15,60,400,0,49.41569282136894,18.81636060100167,6.175292153589315,70.85141903171954,450.7512520868114,0.22203672787979958,36,13.017392821486705,64.6840113734785,39.411739922612824,39.411739922612824
20,15,60,400,0,47.322314049586765,20.6099173553719,7.482644628099178,67.23966942148759,285.6198347107438,0.26115702479338837,36,0.40204293415786807,27.2424409016946,16.94404515232553,16.94404515232553
20,15,60,400,0,49.41569282136894,18.81636060100167,6.175292153589315,70.85141903171954,450.7512520868114,0.22203672787979958,37,13.310524529246695,65.75937006708284,40.980816463928576,40.980816463928576
20,15,60,400,0,47.322314049586765,20.6099173553719,7.482644628099178,67.23966942148759,285.6198347107438,0.26115702479338837,37,0.6951746419178575,27.807742125594594,18.513121693641278,18.513121693641278
20,15,60,400,0,49.41569282136894,18.81636060100167,6.175292153589315,70.85141903171954,450.7512520868114,0.22203672787979958,38,13.074583864788986,68.21071130008954,42.54989300524433,42.54989300524433
20,15,60,400,0,47.322314049586765,20.6099173553719,7.482644628099178,67.23966942148759,285.6198347107438,0.26115702479338837,38,1.3547542757016737,29.32029344349955,20.082198234957026,20.082198234957026
20,15,60,400,0,49.41569282136894,18.81636060100167,6.175292153589315,70.85141903171954,450.7512520868114,0.22203672787979958,39,13.379956119972801,69.28606999369389,44.11896954656007,44.11896954656007
20,15,60,400,0,47.322314049586765,20.6099173553719,7.482644628099178,67.23966942148759,285.6198347107438,0.26115702479338837,39,1.6601265308854898,29.885594667399538,21.65127477627278,21.65127477627278
20,15,60,400,0,49.41569282136894,18.81636060100167,6.175292153589315,70.85141903171954,450.7512520868114,0.22203672787979958,40,13.691924712380812,70.36142868729824,45.688046087875826,45.688046087875826
20,15,60,400,0,47.322314049586765,20.6099173553719,7.482644628099178,67.23966942148759,285.6198347107438,0.26115702479338837,40,1.9720951232935024,30.45089589129953,23.220351317588527,23.220351317588527
20,15,60,400,0,49.41569282136894,18.81636060100167,6.175292153589315,70.85141903171954,450.7512520868114,0.22203672787979958,41,13.937007773391143,71.55419324288131,47.25712262919158,47.25712262919158
20,15,60,400,0,47.322314049586765,20.6099173553719,7.482644628099178,67.23966942148759,285.6198347107438,0.26115702479338837,41,2.337822642764559,31.065860748289357,24.789427858904276,24.789427858904276
20,15,60,400,0,49.41569282136894,18.81636060100167,6.175292153589315,70.85141903171954,450.7512520868114,0.22203672787979958,42,14.263210269028823,72.62955193648567,48.82619917050732,48.82619917050732
20,15,60,400,0,47.322314049586765,20.6099173553719,7.482644628099178,67.23966942148759,285.6198347107438,0.26115702479338837,42,2.6640251384022373,31.631161972189346,26.358504400220028,26.358504400220028
20,15,60,400,0,49.41569282136894,18.81636060100167,6.175292153589315,70.85141903171954,450.7512520868114,0.22203672787979958,43,14.399213412497655,74.79081254925696,50.395275711823075,50.395275711823075
20,15,60,400,0,47.322314049586765,20.6099173553719,7.482644628099178,67.23966942148759,285.6198347107438,0.26115702479338837,43,3.278327264200856,32.843381802469786,27.927580941535776,27.927580941535776
20,15,60,400,0,49.41569282136894,18.81636060100167,6.175292153589315,70.85141903171954,450.7512520868114,0.22203672787979958,44,14.741212076979327,75.86617124286131,51.96435225313883,51.96435225313883
20,15,60,400,0,47.322314049586765,20.6099173553719,7.482644628099178,67.23966942148759,285.6198347107438,0.26115702479338837,44,3.6203259286825284,33.408683026369786,29.496657482851525,29.496657482851525
20,15,60,400,0,49.41569282136894,18.81636060100167,6.175292153589315,70.85141903171954,450.7512520868114,0.22203672787979958,45,15.091699448796767,76.94152993646564,53.53342879445457,53.53342879445457
20,15,60,400,0,47.322314049586765,20.6099173553719,7.482644628099178,67.23966942148759,285.6198347107438,0.26115702479338837,45,3.9708133004999695,33.97398425026977,31.065734024167277,31.065734024167277
