Price,BuildY,TradeY,TradeQ,Tenure,Size,Distance,D,District,Area
89,2016,2023,1,7,75,7,1,CBD,CBD
73,2010,2023,1,13,55,1,1,CBD,CBD
69,2016,2023,1,7,50,7,1,CBD,CBD
62,2016,2023,1,7,50,7,1,CBD,CBD
90,2012,2023,1,11,80,8,1,CBD,CBD
89,2016,2023,1,7,70,6,1,CBD,CBD
65,2012,2023,1,11,60,8,1,CBD,CBD
20,1980,2023,1,43,45,6,1,CBD,CBD
80,2000,2023,1,23,90,9,1,CBD,CBD
60,1999,2023,1,24,65,3,1,CBD,CBD
100,2008,2023,1,15,90,6,1,CBD,CBD
77,2016,2023,1,7,60,7,1,CBD,CBD
98,2016,2023,1,7,75,7,1,CBD,CBD
36,1980,2023,1,43,50,5,1,CBD,CBD
110,2008,2023,1,15,90,7,1,CBD,CBD
54,2007,2023,1,16,50,7,1,CBD,CBD
100,2008,2023,1,15,80,7,1,CBD,CBD
65,2012,2023,1,11,60,8,1,CBD,CBD
83,2016,2023,1,7,60,7,1,CBD,CBD
70,2012,2023,1,11,65,8,1,CBD,CBD
100,2008,2023,1,15,80,7,1,CBD,CBD
90,2016,2023,1,7,75,7,1,CBD,CBD
120,2010,2023,1,13,85,1,1,CBD,CBD
46,2005,2023,1,18,45,1,1,CBD,CBD
24,1980,2023,1,43,35,1,1,CBD,CBD
25,2005,2023,1,18,25,3,1,CBD,CBD
30,1978,2023,1,45,45,4,1,CBD,CBD
38,1981,2023,1,42,45,4,1,CBD,CBD
77,2018,2023,1,5,60,4,1,CBD,CBD
59,2000,2023,1,23,60,3,1,CBD,CBD
18,1978,2023,1,45,30,5,1,CBD,CBD
49,2012,2023,1,11,40,3,1,CBD,CBD
80,2014,2023,1,9,60,3,1,CBD,CBD
130,2018,2023,1,5,80,2,1,CBD,CBD
59,2017,2023,1,6,40,9,1,CBD,CBD
70,2012,2023,1,11,55,8,1,CBD,CBD
58,2017,2023,1,6,40,6,1,CBD,CBD
13,1982,2023,1,41,25,3,1,CBD,CBD
70,2000,2023,1,23,65,5,1,CBD,CBD
38,2004,2023,1,19,30,3,1,CBD,CBD
80,2003,2023,1,20,80,4,1,CBD,CBD
93,2003,2023,1,20,80,8,1,CBD,CBD
64,1999,2023,1,24,55,4,1,CBD,CBD
40,2003,2023,1,20,60,4,1,CBD,CBD
41,2004,2023,1,19,30,3,1,CBD,CBD
29,2004,2023,1,19,25,4,1,CBD,CBD
38,2004,2023,1,19,30,6,1,CBD,CBD
53,2007,2023,1,16,45,2,1,CBD,CBD
29,2012,2023,1,11,30,3,1,CBD,CBD
100,2016,2023,1,7,65,2,1,CBD,CBD
35,1999,2023,1,24,40,5,1,CBD,CBD
49,2017,2023,1,6,40,1,1,CBD,CBD
45,2010,2023,1,13,45,1,1,CBD,CBD
74,2004,2023,1,19,75,3,1,CBD,CBD
82,2018,2023,1,5,65,4,1,CBD,CBD
110,2017,2023,1,6,70,4,1,CBD,CBD
56,2009,2023,1,14,55,3,1,CBD,CBD
25,2003,2023,1,20,25,3,1,CBD,CBD
65,2009,2023,1,14,55,2,1,CBD,CBD
100,2005,2023,1,18,75,4,1,CBD,CBD
57,2005,2023,1,18,55,2,1,CBD,CBD
63,2015,2023,1,8,50,6,1,CBD,CBD
84,2016,2023,1,7,65,5,1,CBD,CBD
82,2011,2023,1,12,60,3,1,CBD,CBD
52,2015,2023,1,8,45,6,1,CBD,CBD
110,2016,2023,1,7,80,5,1,CBD,CBD
180,2017,2023,1,6,80,6,1,CBD,CBD
73,2005,2023,1,18,60,7,1,CBD,CBD
94,2015,2023,1,8,70,6,1,CBD,CBD
100,2017,2023,1,6,70,4,1,CBD,CBD
49,2005,2023,1,18,45,5,1,CBD,CBD
21,2002,2023,1,21,25,4,1,CBD,CBD
67,1998,2023,1,25,65,4,1,CBD,CBD
27,1982,2023,1,41,45,5,1,CBD,CBD
190,2017,2023,1,6,85,4,1,CBD,CBD
97,2015,2023,1,8,70,3,1,CBD,CBD
68,2001,2023,1,22,70,5,1,CBD,CBD
99,2004,2023,1,19,85,3,1,CBD,CBD
19,1982,2023,1,41,25,3,1,CBD,CBD
18,1982,2023,1,41,35,3,1,CBD,CBD
39,2001,2023,1,22,45,5,1,CBD,CBD
93,2005,2023,1,18,80,4,1,CBD,CBD
130,2017,2023,1,6,75,4,1,CBD,CBD
110,2002,2023,1,21,75,8,1,CBD,CBD
79,2001,2023,1,22,75,5,1,CBD,CBD
75,2001,2023,1,22,70,5,1,CBD,CBD
99,2012,2023,1,11,70,6,1,CBD,CBD
120,2014,2023,1,9,70,2,1,CBD,CBD
45,2004,2023,1,19,40,3,1,CBD,CBD
86,1999,2023,1,24,75,5,1,CBD,CBD
53,2017,2023,1,6,40,1,1,CBD,CBD
78,2009,2023,1,14,60,6,1,CBD,CBD
120,2005,2023,1,18,80,1,1,CBD,CBD
