Price,BuildY,TradeY,TradeQ,Tenure,Size,Distance,D,District,Area,Group,ResY,ResD
53,2014,2021,1,7,55,2,0,CBD,CBD,55_CBD_2_7,-0.5000000023523086,-2.1964430274579172e-11
78,2016,2021,1,5,75,6,0,CBD,CBD,75_CBD_6_5,-11.750000003311925,-2.917088792742106e-11
62,2016,2021,1,5,60,6,0,CBD,CBD,60_CBD_6_5,-3.0000000045697703,-4.162803435292517e-11
21,1973,2021,1,48,45,3,0,CBD,CBD,45_CBD_3_48,-5.48551781776041e-9,-5.061306929121656e-11
58,2000,2021,1,21,65,3,0,CBD,CBD,65_CBD_3_21,-26.000000000608352,-0.5000000000092393
57,2008,2021,1,13,60,5,0,CBD,CBD,60_CBD_5_13,-6.407816499631735e-10,-8.459899447643693e-12
72,2016,2021,1,5,70,6,0,CBD,CBD,70_CBD_6_5,-3.5000000039760266,-3.4792169145703156e-11
57,1997,2021,1,24,65,10,0,CBD,CBD,65_CBD_10_24,-13.000000005311705,-0.5000000000504627
82,2008,2021,1,13,80,6,0,CBD,CBD,80_CBD_6_13,-3.004217319357849e-9,-2.652678077197379e-11
84,2016,2021,1,5,80,6,0,CBD,CBD,80_CBD_6_5,-3.783398483392375e-9,-3.426547934282098e-11
55,2007,2021,1,14,60,7,0,CBD,CBD,60_CBD_7_14,-4.575660739192244e-9,-4.2848169456988217e-11
78,2008,2021,1,13,80,5,0,CBD,CBD,80_CBD_5_13,-18.000000003366466,-2.963940204381288e-11
59,2007,2021,1,14,70,7,0,CBD,CBD,70_CBD_7_14,-4.404441256156133e-9,-4.065192626967473e-11
54,2014,2021,1,7,55,2,0,CBD,CBD,55_CBD_2_7,0.49999999764769143,-2.1964430274579172e-11
57,2007,2021,1,14,70,7,0,CBD,CBD,70_CBD_7_14,-2.0000000044044413,-4.065192626967473e-11
60,2007,2021,1,14,70,7,0,CBD,CBD,70_CBD_7_14,0.9999999955955587,-4.065192626967473e-11
72,2008,2021,1,13,70,5,0,CBD,CBD,70_CBD_5_13,-9.000000001802192,-1.803912574871447e-11
95,2016,2021,1,5,75,6,0,CBD,CBD,75_CBD_6_5,5.249999996688075,-2.917088792742106e-11
75,2008,2021,1,13,75,5,0,CBD,CBD,75_CBD_5_13,-1.5939178865664871e-9,-1.7079671010833408e-11
21,1973,2021,1,48,35,9,0,CBD,CBD,35_CBD_9_48,-6.309690547823266e-9,-1.6278534076263895e-11
60,2007,2021,1,14,70,7,0,CBD,CBD,70_CBD_7_14,0.9999999955955587,-4.065192626967473e-11
55,2003,2021,1,18,65,4,0,CBD,CBD,65_CBD_4_18,-21.666666669996317,-0.33333333336231985
100,2016,2021,1,5,85,6,0,CBD,CBD,85_CBD_6_5,0.49999999577272547,-3.8219871711930864e-11
72,2012,2021,1,9,80,8,0,CBD,CBD,80_CBD_8_9,-4.400831699058472e-9,-4.113465124078175e-11
62,2016,2021,1,5,50,6,0,CBD,CBD,50_CBD_6_5,1.4999999939640887,-5.114886292290066e-11
58,2012,2021,1,9,55,3,0,CBD,CBD,55_CBD_3_9,-11.00000000645494,-0.5000000000291549
21,1980,2021,1,41,30,4,0,CBD,CBD,30_CBD_4_41,0.6666666658465417,-9.5732310967378e-12
36,2006,2021,1,15,50,2,0,CBD,CBD,50_CBD_2_15,-6.352934178721625e-9,-2.2431612123341438e-11
37,2004,2021,1,17,55,2,0,CBD,CBD,55_CBD_2_17,-5.8721099094327656e-9,-5.16167109054777e-11
55,2005,2021,1,16,50,2,0,CBD,CBD,50_CBD_2_16,-1.1066205729548528e-9,-1.3024914480297412e-11
65,2004,2021,1,17,55,5,0,CBD,CBD,55_CBD_5_17,-1.6409416048190906e-9,-1.7174706101741322e-11
20,1991,2021,1,30,25,3,0,CBD,CBD,25_CBD_3_30,-5.001510317015345e-10,2.1562973628874715e-11
69,1999,2021,1,22,85,3,0,CBD,CBD,85_CBD_3_22,-3.702126605276135e-9,-3.255440361726869e-11
26,2004,2021,1,17,25,3,0,CBD,CBD,25_CBD_3_17,1.4999999997147526,-0.5000000000044575
37,1978,2021,1,43,45,4,0,CBD,CBD,45_CBD_4_43,8.99999999933183,-9.367617792577221e-12
58,2004,2021,1,17,35,5,0,CBD,CBD,35_CBD_5_17,-5.2313566811790224e-9,-5.083400367311697e-11
82,2004,2021,1,17,60,6,0,CBD,CBD,60_CBD_6_17,4.499999998021806,-1.9708901177750704e-11
28,2003,2021,1,18,25,2,0,CBD,CBD,25_CBD_2_18,2.6666666605301863,-5.0206727664203754e-11
61,1978,2021,1,43,60,6,0,CBD,CBD,60_CBD_6_43,-2.1405526240414474e-9,-2.0633494912658534e-11
52,2003,2021,1,18,60,3,0,CBD,CBD,60_CBD_3_18,-5.0000000021939,-0.5000000000211493
23,2003,2021,1,18,25,2,0,CBD,CBD,25_CBD_2_18,-2.3333333394698137,-5.0206727664203754e-11
27,1999,2021,1,22,30,5,0,CBD,CBD,30_CBD_5_22,-9.712550763651961e-10,-1.1234124741577034e-11
11,1980,2021,1,41,25,4,0,CBD,CBD,25_CBD_4_41,-3.5000000062690972,-4.280775733889186e-11
69,2007,2021,1,14,65,2,0,CBD,CBD,65_CBD_2_14,-1.1058602922275895e-9,-1.2969847418276004e-11
42,2005,2021,1,16,45,3,0,CBD,CBD,45_CBD_3_16,-5.578755235546851e-10,-7.734923812563466e-12
60,1998,2021,1,23,80,3,0,CBD,CBD,80_CBD_3_23,-3.1690845503362652e-9,-2.6862512214620438e-11
28,1978,2021,1,43,45,3,0,CBD,CBD,45_CBD_3_43,-11.000000006238778,-0.5000000000404223
73,2005,2021,1,16,75,6,0,CBD,CBD,75_CBD_6_16,-2.7829401005874388e-9,-2.5318191987366845e-11
55,1982,2021,1,39,65,8,0,CBD,CBD,65_CBD_8_39,-9.729745897857356e-10,-1.0402345651527867e-11
80,2015,2021,1,6,70,6,0,CBD,CBD,70_CBD_6_6,-8.763265668676468e-10,-1.0369483049998962e-11
60,2016,2021,1,5,55,4,0,CBD,CBD,55_CBD_4_5,-5.898584731767187e-9,-5.1883830565202516e-11
66,2004,2021,1,17,75,3,0,CBD,CBD,75_CBD_3_17,-3.112461399723543e-9,-2.657141173756372e-11
79,2004,2021,1,17,85,5,0,CBD,CBD,85_CBD_5_17,-3.801147840931662e-9,-3.389732938785528e-11
20,1986,2021,1,35,25,3,0,CBD,CBD,25_CBD_3_35,-5.531788360713108e-10,-7.2228889536063434e-12
14,1979,2021,1,42,25,4,0,CBD,CBD,25_CBD_4_42,-4.537945130778098e-9,-4.2135406275178866e-11
66,2012,2021,1,9,60,6,0,CBD,CBD,60_CBD_6_9,-6.500000000382613,-6.143086039855916e-12
15,1982,2021,1,39,25,6,0,CBD,CBD,25_CBD_6_39,-4.95437291192502e-9,-4.700262401513555e-11
60,1999,2021,1,22,60,5,0,CBD,CBD,60_CBD_5_22,-2.4458941538796353e-9,-2.328826020914221e-11
52,2014,2021,1,7,45,2,0,CBD,CBD,45_CBD_2_7,-1.054992537774524e-9,-1.4129808434404367e-11
27,2005,2021,1,16,25,3,0,CBD,CBD,25_CBD_3_16,-5.806946035136207e-10,-7.068567953183447e-12
90,2004,2021,1,17,85,2,0,CBD,CBD,85_CBD_2_17,-4.093152483619633e-9,-3.5996983172026376e-11
52,2005,2021,1,16,50,1,0,CBD,CBD,50_CBD_1_16,-1.6990497897495516e-10,-3.247180302423658e-12
63,2014,2021,1,7,60,4,0,CBD,CBD,60_CBD_4_7,-17.00000000450858,-0.2000000000423121
75,2015,2021,1,6,70,1,0,CBD,CBD,70_CBD_1_6,-1.5000000055460276,-5.0385473571168404e-11
40,2004,2021,1,17,40,2,0,CBD,CBD,40_CBD_2_17,0.33333333085956696,-0.33333333335784165
78,2015,2021,1,6,70,1,0,CBD,CBD,70_CBD_1_6,1.4999999944539724,-5.0385473571168404e-11
120,2015,2021,1,6,80,1,0,CBD,CBD,80_CBD_1_6,-3.3586502468097024e-9,-3.070432796903333e-11
54,2005,2021,1,16,55,3,0,CBD,CBD,55_CBD_3_16,-5.915353540331125e-9,-5.2421400553726016e-11
85,2013,2021,1,8,75,4,0,CBD,CBD,75_CBD_4_8,-16.66666667019024,-0.33333333336544047
41,2010,2021,1,11,45,1,0,CBD,CBD,45_CBD_1_11,-6.615792358388717e-10,-8.790523864377064e-12
60,2003,2021,1,18,65,1,0,CBD,CBD,65_CBD_1_18,-15.000000002485692,-0.5000000000241296
85,2012,2021,1,9,80,5,0,CBD,CBD,80_CBD_5_9,-4.158792421549151e-9,-3.801892134447371e-11
41,1996,2021,1,25,60,2,0,CBD,CBD,60_CBD_2_25,-1.469672383791476e-9,-1.66671121348827e-11
